Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.997818063368893	-73.81944089693997	0.0208	0.0382	0.0168	0.0177	0.0061	0.0059	0.0016	0.0033	agua
4.997816607350767	-73.81863246644481	0.0173	0.0296	0.0129	0.0132	0.0047	0.0041	0.0011	0.0035	agua
4.997815150336484	-73.81782403618821	0.0175	0.0293	0.0127	0.0125	0.0048	0.0048	0.0014	0.0016	agua
4.997813692326045	-73.81701560617036	0.0114	0.016	0.0065	0.0071	0.0033	0.0042	0.0009	0.0026	agua
4.997812233319453	-73.8162071763914	0.0095	0.0117	0.0045	0.0052	0.0028	0.0029	0.0012	0.0021	agua
4.997810773316705	-73.8153987468515	0.0112	0.0154	0.0062	0.0066	0.0029	0.0024	0.0012	0.0019	agua
4.9978093123178065	-73.81459031755084	0.0182	0.031	0.0136	0.014	0.0038	0.0028	0.0014	0.0023	agua
4.997807850322758	-73.81378188848956	0.0087	0.0099	0.0041	0.0037	0.0022	0.0039	0.0013	0.0023	agua
4.99780638733156	-73.81297345966783	0.0084	0.0091	0.004	0.0042	0.0022	0.0015	0.0016	0.0026	agua
4.997014987229133	-73.82186763221901	0.0232	0.0418	0.0184	0.0185	0.0067	0.0054	0.0017	0.0031	agua
4.997013534435385	-73.8210592019983	0.0229	0.0414	0.0183	0.0177	0.0072	0.0053	0.0013	0.0031	agua
4.9970120806456375	-73.82025077201564	0.022	0.0392	0.0181	0.0179	0.008	0.0058	0.0029	0.0037	agua
4.997010625859891	-73.81944234227126	0.0169	0.0284	0.0133	0.0134	0.0069	0.0065	0.0023	0.0033	agua
4.997009170078147	-73.81863391276526	0.0166	0.0271	0.0117	0.0116	0.0057	0.0035	0.0023	0.0033	agua
4.997007713300406	-73.81782548349784	0.0214	0.0384	0.0173	0.0176	0.0067	0.0061	0.0019	0.0034	agua
4.9970062555266725	-73.81701705446918	0.0131	0.0179	0.0082	0.0084	0.0048	0.0053	0.002	0.0023	agua
4.997004796756946	-73.81620862567938	0.0101	0.013	0.0058	0.0057	0.0033	0.0034	0.0015	0.0012	agua
4.997003336991226	-73.81540019712867	0.0089	0.0121	0.005	0.0054	0.0025	0.0024	0.001	0.0023	agua
4.997001876229517	-73.8145917688172	0.0083	0.0114	0.0047	0.0049	0.003	0.0016	0.0014	0.0024	agua
4.997000414471819	-73.81378334074508	0.0078	0.0097	0.004	0.0038	0.0013	0.0023	0.0015	0.0029	agua
4.996207548991711	-73.82186907434675	0.0236	0.0425	0.0183	0.0184	0.0063	0.0049	0.0015	0.003	agua
