Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.933300525748447	-73.86401549172894	0.0271	0.0564	0.0269	0.0364	0.0127	0.0098	0.0012	0.0016	agua
4.932497216389425	-73.86644195710639	0.027	0.0581	0.0266	0.038	0.0175	0.013	0.0022	0.0025	agua
4.932495836536217	-73.86563359265918	0.0259	0.0543	0.0248	0.0331	0.0119	0.0092	0.0018	0.002	agua
4.932494455699871	-73.86482522844098	0.0267	0.0557	0.0262	0.0351	0.013	0.0085	0.0016	0.0012	agua
4.932493073880384	-73.86401686445194	0.0274	0.0573	0.0276	0.0377	0.0136	0.0098	0.0014	0.0012	agua
4.93249169107776	-73.86320850069222	0.0272	0.0564	0.0279	0.0369	0.012	0.0109	0.0015	0.0019	agua
4.9324903072919986	-73.86240013716198	0.0277	0.0587	0.0286	0.0393	0.0151	0.0103	0.0021	0.002	agua
4.931691142463312	-73.86725169037334	0.0251	0.0525	0.0241	0.0315	0.0109	0.0068	0.0016	0.0017	agua
4.931689763820043	-73.86644332667346	0.0269	0.057	0.0262	0.0372	0.0165	0.0151	0.0021	0.0023	agua
4.931688384193795	-73.86563496320242	0.0254	0.0531	0.0249	0.0326	0.0112	0.0089	0.0015	0.0017	agua
4.9316870035845675	-73.86482659996037	0.0272	0.0561	0.0269	0.0355	0.0128	0.0087	0.0019	0.0018	agua
4.9316856219923615	-73.86401823694747	0.0275	0.0575	0.0276	0.0382	0.0138	0.0104	0.0017	0.0022	agua
4.931684239417181	-73.86320987416391	0.0269	0.0559	0.0271	0.0356	0.0124	0.0091	0.0018	0.0017	agua
4.931682855859025	-73.86240151160983	0.0273	0.0576	0.0278	0.0381	0.0145	0.0112	0.0019	0.0016	agua
4.931681471317895	-73.8615931492854	0.0275	0.0588	0.0284	0.0392	0.0151	0.0108	0.002	0.0021	agua
4.930880931831419	-73.86563633351852	0.0266	0.056	0.0265	0.0357	0.0134	0.0085	0.0018	0.0017	agua
4.930879551449311	-73.86482797125247	0.0272	0.0566	0.0277	0.0372	0.0137	0.0115	0.0025	0.0019	agua
4.930878170084386	-73.86401960921556	0.027	0.0569	0.0273	0.0372	0.0141	0.0129	0.0024	0.0014	agua
4.930876787736647	-73.86321124740799	0.0274	0.0581	0.0277	0.0388	0.0154	0.0114	0.0021	0.0022	agua
4.930875404406096	-73.86240288582991	0.0274	0.0582	0.0277	0.0383	0.0143	0.0095	0.0018	0.0013	agua
4.930072099294103	-73.86482934231725	0.0277	0.0579	0.0278	0.0385	0.015	0.0138	0.0027	0.0023	agua
4.930070718156458	-73.8640209812562	0.0273	0.0578	0.0277	0.0387	0.0141	0.0096	0.0019	0.0021	agua
4.940545312259381	-73.85106917813523	0.0252	0.0529	0.0241	0.0326	0.0135	0.0112	0.0015	0.0021	agua
4.94054391142641	-73.85026080829668	0.0255	0.0531	0.0243	0.032	0.0135	0.0099	0.0019	0.0014	agua
4.940542509608704	-73.84945243869025	0.0258	0.0529	0.0249	0.0324	0.0132	0.0088	0.0028	0.0027	agua
4.940541106806273	-73.84864406931608	0.0261	0.0546	0.0252	0.0353	0.0147	0.0123	0.0025	0.0024	agua
4.940539703019112	-73.84783570017436	0.0266	0.0551	0.0258	0.0341	0.0138	0.0113	0.0024	0.0032	agua
4.940538298247221	-73.84702733126521	0.0276	0.0567	0.0269	0.0355	0.0138	0.0107	0.0026	0.0035	agua
4.940536892490607	-73.84621896258885	0.0293	0.0593	0.0292	0.0384	0.0158	0.0122	0.0041	0.005	agua
4.940535485749268	-73.84541059414542	0.0303	0.0614	0.0308	0.041	0.0169	0.0137	0.0047	0.0064	agua
4.940534078023205	-73.84460222593506	0.0297	0.0595	0.0293	0.0393	0.0147	0.0116	0.0032	0.0034	agua
4.939736463626729	-73.85026219968879	0.0299	0.0604	0.0294	0.0403	0.0183	0.0112	0.0034	0.004	agua
4.939735062039224	-73.84945383106009	0.0281	0.0583	0.0279	0.0376	0.0159	0.0115	0.0032	0.0029	agua
4.93973365946715	-73.84864546266367	0.0266	0.0562	0.0257	0.0361	0.0147	0.0114	0.0027	0.0018	agua
4.939732255910508	-73.8478370944997	0.0268	0.0574	0.0264	0.0375	0.0155	0.0096	0.0024	0.002	agua
4.939730851369301	-73.84702872656831	0.0282	0.0591	0.0279	0.0375	0.0151	0.0105	0.003	0.0028	agua
4.939729445843531	-73.84622035886969	0.0292	0.0598	0.0296	0.039	0.0151	0.0119	0.0038	0.0042	agua
4.939728039333198	-73.84541199140398	0.0287	0.0594	0.029	0.0388	0.0145	0.0129	0.0035	0.0035	agua
4.938929015807055	-73.85026359085067	0.0312	0.062	0.0315	0.0422	0.0183	0.0141	0.0046	0.0041	agua
4.938927614449746	-73.84945522319957	0.0303	0.06	0.0301	0.04	0.016	0.0144	0.0045	0.0045	agua
4.938926212108029	-73.84864685578073	0.0319	0.0627	0.0323	0.0423	0.0186	0.0122	0.0057	0.0055	agua
4.938924808781908	-73.84783848859433	0.0299	0.0607	0.0298	0.0399	0.0159	0.014	0.0032	0.004	agua
4.938923404471384	-73.84703012164051	0.0288	0.0596	0.0286	0.0388	0.015	0.0117	0.0033	0.0036	agua
4.938921999176457	-73.84622175491948	0.0279	0.0594	0.0282	0.0386	0.0146	0.0117	0.0032	0.0032	agua
4.938120166840272	-73.84945661510865	0.0287	0.0602	0.0291	0.04	0.0153	0.0122	0.0034	0.0038	agua
4.938118764728912	-73.84864824866723	0.0276	0.0587	0.0278	0.0382	0.0135	0.0132	0.0016	0.0031	agua
4.938117361633312	-73.84783988245826	0.0277	0.0592	0.028	0.0385	0.0141	0.0109	0.0024	0.0034	agua
4.938115957553467	-73.84703151648186	0.0288	0.0596	0.0288	0.039	0.0144	0.0131	0.0029	0.0037	agua
4.937312719210809	-73.84945800678736	0.0269	0.0577	0.0273	0.037	0.0131	0.0122	0.002	0.0023	agua
4.93731131732981	-73.8486496413232	0.0269	0.0577	0.027	0.0371	0.0124	0.011	0.0019	0.0023	agua
4.937309914464726	-73.84784127609149	0.0279	0.0592	0.0283	0.0386	0.0131	0.0101	0.0023	0.0027	agua
4.936505271561359	-73.84945939823568	0.0266	0.0575	0.0269	0.0363	0.0126	0.0107	0.0015	0.0023	agua
4.936503869910713	-73.84865103374864	0.0263	0.0575	0.0266	0.0366	0.0124	0.0095	0.0015	0.0023	agua
5.009195288129418	-73.86065161242139	0.0158	0.0187	0.0187	0.024	0.0323	0.0369	0.039	0.0323	agua
5.008389246242482	-73.86146146604887	0.0066	0.0092	0.006	0.0128	0.0372	0.0592	0.0285	0.0188	agua
5.008387839062854	-73.86065301049764	0.0117	0.015	0.0134	0.0208	0.0347	0.0384	0.0352	0.0272	agua
5.007581796927675	-73.86146286290553	0.0108	0.0141	0.0103	0.0188	0.0383	0.0525	0.0309	0.022	agua
5.007580389976024	-73.86065440834568	0.0154	0.0177	0.0153	0.0218	0.036	0.0483	0.0312	0.0246	agua
5.007578982026203	-73.85984595401592	0.0163	0.0175	0.0167	0.021	0.0295	0.0429	0.0286	0.0238	agua
5.006774347592608	-73.86146425953413	0.0187	0.0209	0.0195	0.0259	0.0406	0.0446	0.0374	0.0296	agua
5.006772940868935	-73.86065580596548	0.0218	0.0229	0.0215	0.0248	0.033	0.056	0.0313	0.0269	agua
5.006771533147252	-73.85984735262691	0.0167	0.019	0.0194	0.0253	0.0359	0.0357	0.037	0.0288	agua
5.027700545729366	-73.82342959304914	0.0181	0.0251	0.0229	0.0459	0.1069	0.191	0.0955	0.0546	vegetacion
5.026893107792211	-73.8234310421549	0.0183	0.0256	0.02	0.0442	0.1118	0.1327	0.0961	0.0551	vegetacion
5.026891648273925	-73.82262257475071	0.0185	0.024	0.0191	0.0404	0.1075	0.1427	0.0888	0.0509	vegetacion
5.026890187753654	-73.82181410758432	0.0167	0.0225	0.0191	0.0387	0.1032	0.1614	0.0784	0.0436	vegetacion
5.026087128115557	-73.82424095767176	0.019	0.0266	0.0246	0.0492	0.1142	0.139	0.1029	0.0585	vegetacion
5.026085669834691	-73.82343249102495	0.016	0.0217	0.0191	0.0403	0.1051	0.1388	0.0832	0.0449	vegetacion
5.026084210551999	-73.82262402461578	0.0151	0.0205	0.0178	0.0398	0.1093	0.1498	0.0784	0.0414	vegetacion
5.025279689902245	-73.82424240531124	0.0174	0.0241	0.0188	0.0436	0.1278	0.1765	0.0836	0.0451	vegetacion
4.9493775345823225	-73.82276068641953	0.0222	0.0309	0.0234	0.0495	0.1243	0.1561	0.1084	0.0611	vegetacion
4.949376096691909	-73.82195231403652	0.0214	0.0311	0.0201	0.0486	0.1494	0.172	0.0993	0.0526	vegetacion
